address,roomtype,availability,description,female,male,rent,locality,image,promoted
#6650 | Howell Street,4 Bed • 1 Bath,Available Now,"Recently renovated apartment, convenient Dorchester location!",3,0,$895.00,Dorchester,https://www.splitspot.com/locations/boston/apartments?page=2,
#7777 | Forest Street,3 Bed • 1 Bath,Available February 1,This beautiful apartment just minutes away from the Porter Red Line T stop and surrounded by multiple restaurants,0,2,"$1,195.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0FJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6d5baf6676fd5a0bada246c3aba1114d65fa4817/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/d246cd_37f7a8cb49124078b6f2ab861962e951~mv2.jpg,
#8712 | Romsey Street,3 Bed • 1 Bath,Available September 1,"Located in the heart of Dorchester, this luminous yet cozy 3 bed apartment offers easy access to public transport.",2,0,"$1,195.00",Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0F0IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--45b21756f77fa7699e0a17df5cc17baae4b73c81/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/11-Romsey-St-Unit-2-Living-Room.jpg,
#8932 | Medford Street,3 Bed • 1 Bath,Available June 1,"This apartment is practically next door to Target, as well as an easy walk to Inman square and all its hidden gems.",1,2,"$1,095.00",Somerville,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa29OIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a5c590e8b19cfbf534fc3bfa7753d8c8786db2e5/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_57df387d8b3a418294625ff9423b7637~mv2.png,
#8862 | Central Street,4 Bed • 1.5 Bath,Available June 1,A great value for someone looking in Somerville! Walkable to Porter Square and the T,3,1,"$1,195.00",Somerville,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDRQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--de5c6c8d3cd5dcd682e4ee59da95950b80cb24be/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_5608f541bdc240178bd67dc5599b9101~mv2.png,
#2585 | Broadway,3 Bed • 1 Bath,Available January 1,"Located right on Broadway, this apartment allows for easy access to great restaurants and shopping",0,2,"$1,220.00",Somerville,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaElMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f748c33053efc0bd148e4a6f1fc5cc79bf897c81/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_0b22498a4e004818845259176bf1a408~mv2.png,Promotion
#7441 | Bond Street,4 Bed • 2 Bath,Available September 1,"Located right in Winter Hill, this 4 bed 2 bath apartment allows for ample space at the right price!",1,2,"$1,295.00",Somerville,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBHUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cf956a007ff395eacbfd116f8830f43557c94898/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_f37812c0128d481c9f35ea6adba81c4f~mv2.png,
#7881 | Western Avenue,3 Bed • 1 Bath,Available March 1,"With a huge living room, this apartment is perfect for anyone looking for space to relax and entertain",2,0,"$1,195.00",Cambridge,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWtFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0d883b6a8302184574a99f2d2fa92acf10bd2320/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--c8f187c2e96ff4eb60d8eb2d80d671ff8d1f0bf2/719134_0c4778206f54498391bc43d4ee1a6465~mv2.png,
#3943 | Howell Street,4 Bed • 1 Bath,Available February 1,"Recently renovated apartment, convenient Dorchester location!",3,0,"$1,095.00",Dorchester,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFpMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f1979d78b1c890b535d7d8bb83cecbfebdc8ed46/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2QzNKbGMybDZaVWtpRERRd01IZ3pNREFHT3daRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--3ddff42dafd83cf17095a32f855012b09f04ca93/54W62e17b7476f5a.jpg,
#1415 | Parker Street,5 Bed • 2 Bath,Available January 1,"Whether you work in Mission Hill or looking to commute into the city, this apartment offers location and function",0,5,"$1,170.00",Mission Hill,https://d1zoucz635ct8o.cloudfront.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVFQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fc1ad658d59414e8365b0a76c09884cbca299df8/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lKYW5CbFp3WTZCa1ZVT2d0eVpYTnBlbVZKSWd3ME1EQjRNekF3QmpzR1JnPT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--e31e37acfea0345fb699a4ddf840ed4210ecd203/719134_fd8243fe299e4455a01edf7c353c3699~mv2.jpeg,Promotion
